Model,Mean_F1,Std_F1,SE_F1
Logistic C=0.01,0.6213816579595267,0.09389851722619943,0.041992693500843385
Logistic C=0.1,0.9240357370270761,0.03826796272943817,0.01711395320469043
Logistic C=1,0.9772687392307645,0.014774195889225137,0.006607221264241072
Logistic C=10,0.9799788765451417,0.01700097748009256,0.007603068265886008
