Feature,Importance
demand_lag_3,0.0281939018965502
hour,0.019877354753740972
rainfall_temperature,0.013115234039926316
water_quality_index,0.010562045304996914
temperature_C,0.01036832043456668
previous_day_water_demand_kL,0.006023999956026938
storage_demand_ratio,0.005486413124569256
humidity_pct,0.005108969138357233
demand_lag_1,0.004645244343918442
holiday_indicator,0.0032103580856032376
demand_rolling_mean_3,0.003036249602372321
month,0.0026280790282641408
water_storage_level_pct,0.002427171419485252
demand_lag_2,0.0017440072158706244
storage_low_indicator,0.0004112100308713451
contamination_risk,0.00027580079110784973
day_of_week,-0.0021071545702944896
peak_hour_indicator,-0.0022787812219657866
temperature_humidity,-0.002687633498832276
population_users,-0.008396200363580597
rainfall_mm,-0.00952938122563025
