Feature,Importance
water_storage_level_pct,0.3310750551817088
rainfall_mm,0.3095684216922785
humidity_pct,0.17106124960250618
water_quality_index,0.04777951469443269
temperature_C,0.04352216350905813
population_users,0.03591635582995659
previous_day_water_demand_kL,0.03363619120341282
zone_Zone_C,0.007486322825776677
zone_Zone_A,0.0066582736446786995
zone_Zone_D,0.0037838745548074266
peak_hour_indicator,0.003751324584508431
holiday_indicator,0.0037234977106108446
zone_Zone_B,0.0020377549662641894
